2024/09/12 16:58:18.363 => OpenSerial: Com=4 BaudRate=256000, Success=1
2024/09/12 16:58:18.369 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) Success
2024/09/12 16:58:18.369 => protocol version = 1, send_recv buffer size = 64
2024/09/12 16:58:18.520 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) Success
2024/09/12 16:58:18.520 => protocol version = 1, send_recv buffer size = 64
2024/09/12 16:58:18.525 => CRadarProtocolDevice::UpdateVersion: CMDID(0x0000) Success
2024/09/12 16:58:18.525 => GetVersion Return: v1.4.4_32772.0
2024/09/12 16:58:29.960 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) Success
2024/09/12 16:58:29.960 => protocol version = 1, send_recv buffer size = 64
2024/09/12 16:58:30.120 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) Success
2024/09/12 16:58:30.120 => protocol version = 1, send_recv buffer size = 64
2024/09/12 16:58:30.663 => CRadarProtocolDevice::SendCommand: CMDID(0x0062) Success
2024/09/12 16:58:30.668 => CRadarProtocolDevice::CloseCmdMode: CMDID(0x00FE) Success
2024/09/12 16:58:30.673 => thread create success, thread handle=0x00000668, id=3160, name=ABDData
2024/09/12 16:58:30.673 => thread information, name=ABDData, tid=3160(0x00000c58)
2024/09/12 16:58:35.494 => State=2, M_D=227, M_S=043, ML_D=222, ML_S=100, R_D=039
2024/09/12 16:58:35.595 => State=2, M_D=030, M_S=100, ML_D=222, ML_S=100, R_D=035
2024/09/12 16:58:35.695 => State=2, M_D=226, M_S=031, ML_D=222, ML_S=100, R_D=057
2024/09/12 16:58:35.795 => State=2, M_D=030, M_S=090, ML_D=222, ML_S=100, R_D=051
2024/09/12 16:58:35.894 => State=3, M_D=030, M_S=100, ML_D=222, ML_S=100, R_D=046
2024/09/12 16:58:35.995 => State=3, M_D=030, M_S=100, ML_D=222, ML_S=100, R_D=042
2024/09/12 16:58:36.095 => State=3, M_D=030, M_S=100, ML_D=223, ML_S=100, R_D=038
2024/09/12 16:58:36.194 => State=3, M_D=030, M_S=060, ML_D=223, ML_S=100, R_D=035
2024/09/12 16:58:36.295 => State=3, M_D=030, M_S=100, ML_D=223, ML_S=100, R_D=032
2024/09/12 16:58:36.395 => State=3, M_D=030, M_S=100, ML_D=223, ML_S=100, R_D=000
2024/09/12 16:58:36.495 => State=3, M_D=030, M_S=100, ML_D=222, ML_S=100, R_D=000
2024/09/12 16:58:36.595 => State=3, M_D=030, M_S=100, ML_D=222, ML_S=100, R_D=000
2024/09/12 16:58:36.694 => State=3, M_D=030, M_S=100, ML_D=222, ML_S=100, R_D=000
2024/09/12 16:58:36.795 => State=3, M_D=030, M_S=100, ML_D=223, ML_S=100, R_D=000
2024/09/12 16:58:36.895 => State=3, M_D=030, M_S=100, ML_D=224, ML_S=100, R_D=000
2024/09/12 16:58:36.994 => State=3, M_D=030, M_S=100, ML_D=225, ML_S=100, R_D=000
2024/09/12 16:58:37.094 => State=3, M_D=030, M_S=100, ML_D=225, ML_S=100, R_D=000
2024/09/12 16:58:37.195 => State=3, M_D=030, M_S=100, ML_D=225, ML_S=100, R_D=000
2024/09/12 16:58:37.294 => State=3, M_D=030, M_S=100, ML_D=225, ML_S=100, R_D=000
2024/09/12 16:58:37.394 => State=3, M_D=030, M_S=100, ML_D=225, ML_S=100, R_D=000
2024/09/12 16:58:37.495 => State=3, M_D=030, M_S=100, ML_D=225, ML_S=100, R_D=000
2024/09/12 16:58:37.594 => State=3, M_D=030, M_S=100, ML_D=225, ML_S=100, R_D=000
2024/09/12 16:58:37.695 => State=3, M_D=030, M_S=100, ML_D=225, ML_S=100, R_D=000
2024/09/12 16:58:37.795 => State=3, M_D=030, M_S=100, ML_D=224, ML_S=100, R_D=000
2024/09/12 16:58:37.894 => State=3, M_D=030, M_S=100, ML_D=223, ML_S=100, R_D=000
2024/09/12 16:58:37.995 => State=3, M_D=030, M_S=100, ML_D=223, ML_S=100, R_D=000
2024/09/12 16:58:38.095 => State=3, M_D=030, M_S=100, ML_D=222, ML_S=100, R_D=000
2024/09/12 16:58:38.194 => State=3, M_D=030, M_S=099, ML_D=222, ML_S=100, R_D=000
2024/09/12 16:58:38.294 => State=3, M_D=030, M_S=061, ML_D=222, ML_S=100, R_D=000
2024/09/12 16:58:38.395 => State=3, M_D=030, M_S=100, ML_D=222, ML_S=100, R_D=000
2024/09/12 16:58:38.495 => State=2, M_D=225, M_S=081, ML_D=222, ML_S=100, R_D=039
2024/09/12 16:58:38.594 => State=2, M_D=030, M_S=100, ML_D=222, ML_S=100, R_D=035
2024/09/12 16:58:38.695 => State=2, M_D=222, M_S=031, ML_D=222, ML_S=100, R_D=056
2024/09/12 16:58:38.794 => State=2, M_D=030, M_S=100, ML_D=222, ML_S=100, R_D=050
2024/09/12 16:58:38.894 => State=2, M_D=225, M_S=093, ML_D=222, ML_S=100, R_D=070
2024/09/12 16:58:38.995 => State=3, M_D=226, M_S=072, ML_D=222, ML_S=100, R_D=088
2024/09/12 16:58:39.095 => State=2, M_D=030, M_S=070, ML_D=222, ML_S=100, R_D=078
2024/09/12 16:58:39.195 => State=3, M_D=030, M_S=100, ML_D=222, ML_S=100, R_D=070
2024/09/12 16:58:39.295 => State=2, M_D=225, M_S=100, ML_D=222, ML_S=100, R_D=088
2024/09/12 16:58:39.395 => State=2, M_D=030, M_S=100, ML_D=222, ML_S=100, R_D=078
2024/09/12 16:58:39.494 => State=2, M_D=030, M_S=000, ML_D=222, ML_S=100, R_D=070
2024/09/12 16:58:39.595 => State=2, M_D=225, M_S=057, ML_D=222, ML_S=100, R_D=088
2024/09/12 16:58:39.695 => State=2, M_D=030, M_S=100, ML_D=222, ML_S=100, R_D=078
2024/09/12 16:58:39.794 => State=2, M_D=030, M_S=000, ML_D=222, ML_S=100, R_D=070
2024/09/12 16:58:39.894 => State=3, M_D=030, M_S=088, ML_D=222, ML_S=100, R_D=063
